"UDP",221,"Berkeley rlogind with SPX auth"
"UDP",472,"ljk-login"
"UDP",491,"go-login"
"UDP",541,"uucp-rlogin"
"UDP",758,"nlogin"
"UDP",2366,"qip-login"
                         
